Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL472,GLYBURIDE,4.0,494.01,0.0,3.64,Glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,IC50,'=',10000.0,nM,5.0,,,UO_0000065,10.12,0.21,1.36,4.4,0,CHEMBL4324145,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse bone marrow derived macrophages preincubated for 15 mins followed by addition of ATP and measured after 30 mins by immunoblotting analysis,B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,10.0
CHEMBL16730,,,291.13,0.0,4.77,F-8,O=c1cc(-c2ccc(Cl)c(Cl)c2)oc2ccccc12,Inhibition,'=',49.5,%,,,,UO_0000187,,,,,0,CHEMBL4324156,Inhibition of NLRP3 inflammasome activation in PMA differentiated human THP1 cells assessed as reduction in IL-1beta level at 10 uM preincubated for 30 mins followed by addition of MSU and meaured after 6 hrs by ELISA method relative to control,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,49.5
CHEMBL4476211,,,253.26,0.0,2.5,7,COc1ccc2c(c1)C(=O)N(c1ccccc1)C2=O,IC50,'=',5000.0,nM,5.3,,,UO_0000065,20.93,0.38,2.8,11.37,0,CHEMBL4324160,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse J774A.1 cells assessed as reduction in IL-1beta level preincubated for 1 hr followed by addition of ATP and measured after 30 mins by ELISA method,B,BAO_0000019,assay format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,5.0
CHEMBL4458109,,,439.51,1.0,5.61,CY-09,O=C(O)c1ccc(/C=C2\SC(=S)N(Cc3cccc(C(F)(F)F)c3)C2=S)cc1,IC50,'=',5000.0,nM,5.3,,,UO_0000065,12.06,0.26,-0.31,13.08,0,CHEMBL4324168,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse bone marrow derived macrophages incubated for 30 mins by immunoblotting analysis,B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,5.0
CHEMBL4443648,,,236.32,0.0,4.03,Fc11a-2,CCn1c(-c2ccccc2)nc2cc(C)ccc21,IC50,'=',10000.0,nM,5.0,,,UO_0000065,21.16,0.38,0.97,28.06,0,CHEMBL4324165,Inhibition of NLRP3 inflammasome activation in LPS-primed human THP1 cells assessed as reduction in IL-1beta level preincubated for 1 hr followed by addition of ATP and measured after 1 hr by ELISA method,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,10.0
CHEMBL4565736,,,265.38,0.0,3.34,BOT-4-one,CC1CC(=O)c2s/c(=N\C3CCCCC3)oc2C1,IC50,'=',1280.0,nM,5.89,,,UO_0000065,22.21,0.45,2.55,13.84,0,CHEMBL4324169,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse bone marrow derived macrophages incubated for 1 hr followed by addition of ATP and measured after 1 hr by immunoblotting analysis,B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,1.28
CHEMBL1164165,,,267.24,0.0,2.5,8,O=c1[nH]c(-c2ccc([N+](=O)[O-])cc2)nc2ccccc12,IC50,'=',5000.0,nM,5.3,,,UO_0000065,19.84,0.36,2.8,5.96,0,CHEMBL4324160,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse J774A.1 cells assessed as reduction in IL-1beta level preincubated for 1 hr followed by addition of ATP and measured after 30 mins by ELISA method,B,BAO_0000019,assay format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,5.0
CHEMBL4583133,,,384.84,0.0,1.99,JC171,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NO)cc1,IC50,'=',8450.0,nM,5.07,,,UO_0000065,13.18,0.28,3.08,4.84,0,CHEMBL4324151,Inhibition of NLRP3 inflammasome activation in mouse J774A.1 cells assessed as reduction in IL-1beta level preincubated for 2 hrs followed by LPS-stimulation and further incubated for 5.5 hrs and subsequently ATP addition and measured after 30 mins by ELISA method,B,BAO_0000219,cell-based format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,8.45
CHEMBL381945,,,202.24,0.0,2.08,TBZ-21,c1cc2[nH]c(-c3cscn3)nc2cn1,Inhibition,'=',30.0,%,,,,UO_0000187,,,,,0,CHEMBL4324159,Inhibition of NLRP3 inflammasome activation in LPS-stimulated human THP1 cells assessed as reduction in IL-1beta level at 10 uM preincubated for 1 hr followed by addition of ATP and measured after 1 hr by ELISA method relative to control,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,30.0
CHEMBL3989943,DAPANSUTRILE,2.0,133.17,0.0,-0.06,OLT1177,CS(=O)(=O)CCC#N,IC50,'=',1.0,nM,9.0,,,UO_0000065,67.58,1.54,9.06,15.54,0,CHEMBL4324170,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse J774A.1 cells assessed as reduction in IL-1beta level preincubated for 30 mins followed by addition of nigericin and measured after 40 mins by ELISA,B,BAO_0000019,assay format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,1.0
CHEMBL3183703,,,404.49,0.0,2.99,MCC950,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,F,'=',68.0,%,,,,UO_0000187,,,,,0,CHEMBL4324148,Oral bioavailability in C57BL/6 mouse at 20 mg/kg,A,BAO_0000218,organism-based format,Mus musculus,,,,,,,,CHEMBL612558,ADMET,,ADMET,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,68.0
CHEMBL4538032,,,378.88,0.0,2.45,INF58,C=C(Cc1ccccc1Cl)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,IC50,'=',74000.0,nM,4.13,,,UO_0000065,10.9,0.23,1.68,4.63,0,CHEMBL4324153,Inhibition of recombinant human NLRP3 ATPase assessed as reduction in ADP formation preincubated for 10 mins followed by ATP addition and measured after 40 mins by ADP-Glo assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,74.0
CHEMBL4538032,,,378.88,0.0,2.45,INF58,C=C(Cc1ccccc1Cl)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,IC50,'=',23200.0,nM,4.63,,,UO_0000065,,,,,0,CHEMBL4324154,Inhibition of pyroptosis in PMA-differentiated and LPS-primed human THP1 cells assessed as LDH activity preincubated for 1 hr followed by addition of ATP and measured after 1 hr by CytoTox 96 Non-Radioactive Cytotoxicity Assay,F,BAO_0000219,cell-based format,Homo sapiens,,,THP-1,,,,,CHEMBL614245,THP-1,Homo sapiens,CELL-LINE,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,CHEMBL3307574,,,,23.2
CHEMBL3183703,,,404.49,0.0,2.99,MCC950,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,T1/2,'=',3.27,hr,,,,UO_0000032,,,,,0,CHEMBL4324149,"Half life in C57BL/6 mouse plasma at 3 mg/kg, iv or 20 mg/kg, po",A,BAO_0000218,organism-based format,Mus musculus,CHEMBL3559721,Plasma,,,,,,CHEMBL612558,ADMET,,ADMET,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,3.27
CHEMBL4468698,,,550.68,1.0,4.0,2,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cc2)C1=O,IC50,'=',42.0,nM,7.38,,,UO_0000065,13.4,0.26,3.38,5.92,0,CHEMBL4324150,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse bone marrow derived macrophages assessed as reduction in IL-1beta level preincubated for 30 mins followed by addition of ATP and measured after 1 hr by ELISA method,B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,42.0
CHEMBL4539790,,,409.51,,,NBC6,CC(=O)C1=C(C(Cl)(Cl)Cl)N[B-](c2ccccc2)(c2ccccc2)[O+]=C1N,IC50,'=',74.0,nM,7.13,,,UO_0000065,17.41,,,,0,CHEMBL4324155,Inhibition of NLRP3 inflammasome activation in LPS-primed human THP1 cells assessed as reduction in IL-1beta level preincubated for 10 mins followed by addition of nigericin,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,74.0
CHEMBL370771,,,246.25,0.0,2.59,TBZ-09,O=[N+]([O-])c1ccc2[nH]c(-c3cscn3)nc2c1,Inhibition,'=',30.0,%,,,,UO_0000187,,,,,0,CHEMBL4324159,Inhibition of NLRP3 inflammasome activation in LPS-stimulated human THP1 cells assessed as reduction in IL-1beta level at 10 uM preincubated for 1 hr followed by addition of ATP and measured after 1 hr by ELISA method relative to control,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,30.0
CHEMBL336718,,,252.27,0.0,3.01,9,COc1ccc(-c2nc(O)c3ccccc3n2)cc1,Inhibition,'=',28.8,%,,,,UO_0000187,,,,,0,CHEMBL4324161,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse J774A.1 cells assessed as reduction in IL-1beta level at 10 uM preincubated for 1 hr followed by addition of ATP and measured after 30 mins by ELISA method relative to control,B,BAO_0000019,assay format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,28.8
CHEMBL3183703,,,404.49,0.0,2.99,MCC950,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,IC50,'=',7.5,nM,8.12,,,UO_0000065,20.09,0.4,5.13,7.48,1,CHEMBL4324146,Inhibition of NLRP3 in LPS/ATP-treated mouse bone marrow derived macrophages assessed as reduction in NLRP3 inflammasome activation by measuring reduction in IL-1beta level by ELISA method,B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,7.5
CHEMBL4538032,,,378.88,0.0,2.45,INF58,C=C(Cc1ccccc1Cl)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,Inhibition,'=',45.8,%,,,,UO_0000187,,,,,0,CHEMBL4324152,Inhibition of pyroptosis in PMA-differentiated and LPSprimed human THP1 cells assessed as LDH activity at 10 uM preincubated for 1 hr followed by addition of ATP and measured after 1 hr by CytoTox 96 Non-Radioactive Cytotoxicity Assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,,,THP-1,,,,,CHEMBL614245,THP-1,Homo sapiens,CELL-LINE,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,CHEMBL3307574,,,,45.8
CHEMBL403183,,,207.25,0.0,1.81,BAY 11-7082,Cc1ccc(S(=O)(=O)/C=C/C#N)cc1,IC50,'=',12000.0,nM,4.92,,,UO_0000065,23.74,0.48,3.11,8.49,0,CHEMBL4324166,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse NG5 cells assessed as reduction in IL-1beta level incubated for 15followed by addition of ATP by ELISA method,B,BAO_0000219,cell-based format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,12.0
CHEMBL686,MEFENAMIC ACID,4.0,241.29,0.0,3.75,Mefenamic acid,Cc1cccc(Nc2ccccc2C(=O)O)c1C,IC50,'=',25000.0,nM,4.6,,,UO_0000065,19.07,0.35,0.85,9.33,0,CHEMBL4324171,Inhibition of NLRP3 inflammasome activation in LPS-primed C57BL/6 mouse bone marrow derived macrophages preincubated for 15 mins followed by addition of ATP and measured after 1 hr by ELISA,B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,25.0
CHEMBL3183703,,,404.49,0.0,2.99,MCC950,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,IC50,'=',8.1,nM,8.09,,,UO_0000065,20.0,0.39,5.1,7.45,1,CHEMBL4324147,Inhibition of NLRP3 in LPS/ATP-treated human monocyte derived macrophages assessed as reduction in NLRP3 inflammasome activation by measuring reduction in IL-1beta level by ELISA method,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,8.1
CHEMBL2419892,,,290.24,0.0,3.61,10,O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2ccccc12,Inhibition,'=',21.3,%,,,,UO_0000187,,,,,0,CHEMBL4324161,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse J774A.1 cells assessed as reduction in IL-1beta level at 10 uM preincubated for 1 hr followed by addition of ATP and measured after 30 mins by ELISA method relative to control,B,BAO_0000019,assay format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,21.3
CHEMBL574646,,,277.33,0.0,2.12,AI-44,O=C1/C(=C/c2ccccn2)CNC/C1=C\c1ccccn1,IC50,'=',950.0,nM,6.02,,,UO_0000065,21.72,0.39,3.9,10.97,0,CHEMBL4324157,Inhibition of PRDX1 in human PMA-differentiated LPS-stimulated THP1 cells assessed as reduction in NLRP3 inflammasome activation preincubated for 1 hr followed by addition of ATP and mesured after 1 hr by ELISA,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL5315,Peroxiredoxin-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,0.95
CHEMBL28,APIGENIN,,270.24,0.0,2.58,Apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IC50,'=',10000.0,nM,5.0,,,UO_0000065,18.5,0.34,2.42,5.5,0,CHEMBL4324164,Inhibition of NLRP3 inflammasome activation in PMA differentiated human THP1 cells assessed as reduction in IL-1beta level preincubated for 30 mins followed by addition of MSU and meaured after 6 hrs by ELISA method relative to control,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,10.0
CHEMBL28,APIGENIN,,270.24,0.0,2.58,Apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Inhibition,'=',42.9,%,,,,UO_0000187,,,,,0,CHEMBL4324156,Inhibition of NLRP3 inflammasome activation in PMA differentiated human THP1 cells assessed as reduction in IL-1beta level at 10 uM preincubated for 30 mins followed by addition of MSU and meaured after 6 hrs by ELISA method relative to control,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,42.9
CHEMBL25948,SHOGAOL,,276.38,0.0,4.04,6-shogaol,CCCCC/C=C/C(=O)CCc1ccc(O)c(OC)c1,Inhibition,'=',100.0,%,,,,UO_0000187,,,,,0,CHEMBL4324158,Inhibition of NLRP3 inflammasome activation in LPS-primed human THP1 cells assessed as reduction in IL-1beta level at 20 uM preincubated for 1 hr followed by addition of ATP and measured after 3 hrs by ELISA method relative to control,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,100.0
CHEMBL25893,,,304.43,0.0,4.82,8-shogaol,CCCCCCC/C=C/C(=O)CCc1ccc(O)c(OC)c1,Inhibition,'=',60.3,%,,,,UO_0000187,,,,,0,CHEMBL4324158,Inhibition of NLRP3 inflammasome activation in LPS-primed human THP1 cells assessed as reduction in IL-1beta level at 20 uM preincubated for 1 hr followed by addition of ATP and measured after 3 hrs by ELISA method relative to control,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,60.3
CHEMBL3989943,DAPANSUTRILE,2.0,133.17,0.0,-0.06,OLT1177,CS(=O)(=O)CCC#N,Cmax,'=',311000.0,nM,,,,UO_0000065,,,,,0,CHEMBL4324162,"Cmax in mouse at 1000 mg, po administered once daily for 8 days",A,BAO_0000218,organism-based format,Homo sapiens,,,,,DOSE = 1000.0 mg | ROUTE: ORAL,,,CHEMBL372,Homo sapiens,Homo sapiens,ORGANISM,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,311.0
CHEMBL3188223,,,368.84,0.0,1.97,JC 21,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(N)(=O)=O)cc1,IC50,'=',3250.0,nM,5.49,,,UO_0000065,14.88,0.31,3.52,5.57,0,CHEMBL4324163,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse J774A.1 cells assessed as reduction in IL-1beta level incubated for 30 mins in presence of ATP by ELISA method,B,BAO_0000019,assay format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,3.25
CHEMBL596380,,,193.16,0.0,1.66,MNS,O=[N+]([O-])/C=C/c1ccc2c(c1)OCO2,IC50,'=',2000.0,nM,5.7,,,UO_0000065,29.5,0.56,4.04,9.25,1,CHEMBL4324167,Inhibition of NLRP3 inflammasome activation in LPS-primed mouse bone marrow derived macrophages preincubated for 15 mins followed by addition of ATP and measured after 30 mins by ELISA method,B,BAO_0000357,single protein format,Mus musculus,,,,,,,,CHEMBL3779755,"NACHT, LRR and PYD domains-containing protein 3",Mus musculus,SINGLE PROTEIN,CHEMBL4321841,1,Scientific Literature,Eur J Med Chem,2020,,,,,2.0
